05:19:47 INFO  fir_decimate.c:119: Config succesfully loaded from daq_chain_config.ini
05:19:47 INFO  fir_decimate.c:120: Channel number: 9
05:19:47 INFO  fir_decimate.c:121: Decimation ratio: 1
05:19:47 INFO  fir_decimate.c:122: CPI size: 1048576
05:19:47 INFO  fir_decimate.c:123: Calibration sample size : 65536
05:19:47 INFO  fir_decimate.c:147: Input shared memory interface succesfully initialized
05:19:51 INFO  fir_decimate.c:161: Output shared memory interface succesfully initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:195: FIR filter instance initialized
05:19:51 INFO  fir_decimate.c:212: FIR filter coefficienrs are initialized, tap size: 1
05:19:57 TRACE fir_decimate.c:240: --> Frame received: type: 0, daq ind:[3]
05:19:57 TRACE fir_decimate.c:330: <--Transfering frame type: 0, daq ind:[3]
05:19:58 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[5]
05:19:58 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[5]
05:19:58 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[6]
05:19:58 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[6]
05:19:58 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[7]
05:19:58 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[7]
05:19:59 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[8]
05:19:59 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[8]
05:19:59 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[9]
05:19:59 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[9]
05:20:00 TRACE fir_decimate.c:240: --> Frame received: type: 0, daq ind:[13]
05:20:00 TRACE fir_decimate.c:330: <--Transfering frame type: 0, daq ind:[13]
05:20:00 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[14]
05:20:00 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[14]
05:20:01 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[15]
05:20:01 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[15]
05:20:01 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[16]
05:20:01 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[16]
05:20:01 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[17]
05:20:01 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[17]
05:20:01 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[18]
05:20:01 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[18]
05:20:02 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[19]
05:20:02 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[19]
05:20:02 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[20]
05:20:02 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[20]
05:20:02 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[21]
05:20:02 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[21]
05:20:03 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[22]
05:20:03 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[22]
05:20:03 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[23]
05:20:03 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[23]
05:20:03 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[24]
05:20:03 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[24]
05:20:04 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[25]
05:20:04 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[25]
05:20:04 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[26]
05:20:04 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[26]
05:20:04 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[27]
05:20:04 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[27]
05:20:04 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[28]
05:20:04 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[28]
05:20:04 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[29]
05:20:04 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[29]
05:20:05 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[30]
05:20:05 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[30]
05:20:05 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[31]
05:20:05 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[31]
05:20:05 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[32]
05:20:05 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[32]
05:20:06 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[33]
