[2025-01-29T23:49:52.949Z] Settings are empty, so initial load
[2025-01-29T23:49:52.953Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:49:52.964Z] Middleware HTTP Server is listening at http://localhost:8042, Websocket on 8021
[2025-01-29T23:50:02.957Z] hashes not the same, settings changend locally
[2025-01-29T23:50:02.957Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:50:12.967Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:50:22.975Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:50:32.982Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:50:42.993Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:50:52.994Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:51:03.003Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:51:13.010Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:51:23.010Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:51:33.023Z] hashes not the same, settings changend locally
[2025-01-29T23:51:33.023Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:51:43.038Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:51:53.039Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:52:03.046Z] hashes not the same, settings changend locally
[2025-01-29T23:52:03.046Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:52:13.055Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:52:23.055Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:52:33.066Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:52:43.075Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:52:53.075Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:53:03.087Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:53:13.096Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:53:23.097Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:53:33.110Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:53:43.119Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:53:53.120Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:54:03.130Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:54:13.138Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:54:23.139Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:54:33.146Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:54:43.151Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:54:53.151Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:55:03.158Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:55:13.165Z] hashes not the same, settings changend locally
[2025-01-29T23:55:13.165Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:55:23.170Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:55:33.178Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:55:43.186Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:55:53.187Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:56:03.194Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:56:13.202Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:56:23.234Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:56:33.245Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:56:43.254Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:56:53.255Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:57:03.265Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:57:13.278Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:57:23.279Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:57:33.288Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:57:43.298Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:57:53.299Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:58:03.306Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:58:13.319Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:58:23.320Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:58:33.333Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:58:43.344Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:58:53.345Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:59:03.354Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:59:13.366Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:59:23.367Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:59:33.376Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:59:43.387Z] Remote mode deactivated, checking again in 10s
[2025-01-29T23:59:53.396Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:00:03.410Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:00:13.420Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:00:23.422Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:00:33.434Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:00:43.442Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:00:53.446Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:01:03.455Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:01:13.466Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:01:23.467Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:01:33.474Z] hashes not the same, settings changend locally
[2025-01-30T00:01:33.474Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:01:43.482Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:01:53.486Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:02:03.498Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:02:13.506Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:02:23.507Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:02:33.515Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:02:43.523Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:02:53.526Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:03:03.538Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:03:13.551Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:03:23.552Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:03:33.562Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:03:43.570Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:03:53.574Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:04:03.586Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:04:13.594Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:04:23.595Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:04:33.602Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:04:43.610Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:04:53.612Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:05:03.624Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:05:13.634Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:05:23.636Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:05:33.646Z] hashes not the same, settings changend locally
[2025-01-30T00:05:33.646Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:05:43.658Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:05:53.662Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:06:03.671Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:06:13.679Z] hashes not the same, settings changend locally
[2025-01-30T00:06:13.679Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:06:23.680Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:06:33.694Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:06:43.706Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:06:53.707Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:07:03.714Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:07:13.723Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:07:23.726Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:07:33.734Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:07:43.742Z] Remote mode deactivated, checking again in 10s
[2025-01-30T00:07:53.743Z] Remote mode deactivated, checking again in 10s
